target_id	length	eff_length	est_counts	tpm
gene-HO397_00005	66	27.4668	2	43.5654
gene-HO397_00010	2463	2662.82	53	11.9084
gene-HO397_00015	933	900.117	15	9.97041
gene-HO397_00020	1287	1082.27	15	8.2923
gene-HO397_00025	297	288.822	5	10.3576
gene-HO397_00030	777	870.698	8	5.49722
gene-HO397_00035	1431	1551.64	5	1.92796
gene-HO397_00040	954	1069.82	70	39.148
gene-HO397_00045	588	472.967	15	18.975
gene-HO397_00050	567	533.333	11	12.34
gene-HO397_00055	714	735.89	7	5.69122
gene-HO397_00060	405	358.755	0	0
gene-HO397_00065	1917	1972.83	305	92.4978
gene-HO397_00070	1131	1027.07	34	19.8062
gene-HO397_00075	1113	1162.53	67	34.4818
gene-HO397_00080	210	161.947	12	44.3332
gene-HO397_00085	1167	1204.8	9	4.46938
gene-HO397_00090	900	1023.33	10	5.84663
gene-HO397_00095	960	1219.76	4	1.96203
gene-HO397_00100	1353	1306.76	0	0
gene-HO397_00105	1089	1279.9	1	0.46746
gene-HO397_00110	698	711.903	0.00979694	0.0082336
gene-HO397_00115	347	300.819	0	0
gene-HO397_00120	264	185.582	86	277.258
gene-HO397_00125	219	195.947	2	6.10677
gene-HO397_00130	942	1182.55	38	19.2259
gene-HO397_00135	2817	2977.42	119	23.9126
gene-HO397_00140	495	424.588	72	101.458
gene-HO397_00145	450	523.151	2	2.2873
gene-HO397_00150	951	1017.32	8	4.70492
gene-HO397_00155	915	868.755	0	0
gene-HO397_00160	822	814.342	3	2.20412
gene-HO397_00165	1149	1131.87	30	15.8579
gene-HO397_00170	3222	3390.42	22	3.8823
gene-HO397_00175	396	484.625	8	9.87653
gene-HO397_00180	591	542.157	1	1.10356
gene-HO397_00185	786	739.755	0	0
gene-HO397_00190	1554	1645.62	6	2.18143
gene-HO397_00195	1217	1195.41	2	1.001
gene-HO397_00200	1143	1204.26	7	3.47775
gene-HO397_00205	1515	1582.33	6	2.26869
gene-HO397_00210	771	579.299	1	1.0328
gene-HO397_00215	942	939.707	1	0.63669
gene-HO397_00220	1287	1240.76	0	0
gene-HO397_00225	288	241.844	0	0
gene-HO397_00230	1332	1431.02	7	2.92666
gene-HO397_00235	531	484.755	0	0
gene-HO397_00240	1863	1711.08	2	0.699328
gene-HO397_00245	480	461.886	11	14.2488
gene-HO397_00250	843	774.246	10	7.72754
gene-HO397_00255	378	303.553	10	19.71
gene-HO397_00260	822	797.712	8	6.00018
gene-HO397_00265	990	828.648	17	12.2744
gene-HO397_00270	1287	1088.33	81	44.5292
gene-HO397_00275	2355	2663.99	68	15.272
gene-HO397_00280	816	868.975	7	4.8196
gene-HO397_00285	660	796.728	3	2.25285
gene-HO397_00290	2907	2633.29	32	7.27062
gene-HO397_00295	2352	2322.82	32	8.24241
gene-HO397_00300	696	738.359	3	2.43094
gene-HO397_00305	1503	1410.35	7	2.96957
gene-HO397_00310	1701	1576.25	4	1.5183
gene-HO397_00315	879	815.391	3	2.20128
gene-HO397_00320	765	799.86	12	8.9761
gene-HO397_00325	699	586.473	4	4.08068
gene-HO397_00330	1611	1440.51	2	0.830683
gene-HO397_00335	984	902.652	3	1.98848
gene-HO397_00340	1656	1464.3	4	1.63437
gene-HO397_00345	132	103.973	8	46.0353
gene-HO397_00350	1179	1278.78	70	32.7508
gene-HO397_00355	606	524.246	8	9.1301
gene-HO397_00360	1401	1432.39	9	3.75925
gene-HO397_00365	1092	973.27	8	4.91787
gene-HO397_00370	1572	1755.5	4	1.36326
gene-HO397_00375	87	53.7435	4	44.5302
gene-HO397_00380	945	1019.18	5	2.93521
gene-HO397_00385	1725	1672.08	11	3.936
gene-HO397_00390	492	568.912	5	5.2583
gene-HO397_00395	87	46.3586	0	0
gene-HO397_00400	1005	908.184	11	7.24669
gene-HO397_00405	459	383.084	78	121.821
gene-HO397_00410	942	887.127	37	24.9538
gene-HO397_00415	366	364.647	205	336.358
gene-HO397_00420	1767	1866.8	149	47.754
gene-HO397_00425	1488	1436	67	27.9151
gene-HO397_00430	1359	1299.7	68	31.303
gene-HO397_00435	1083	1207.31	38	18.8316
gene-HO397_00440	1317	1263.13	91	43.1035
gene-HO397_00445	1245	1202.91	56	27.8531
gene-HO397_00450	1068	929.147	45	28.9767
gene-HO397_00455	1476	1473.37	54	21.9282
gene-HO397_00460	921	856.941	32	22.3419
